																																				
Z=  	0.0000																																			
P  31	1.4912E-09	3.2518E-13	4.5373E-08	1.4052E-07	2.8545E-07	3.963E-07	4.8015E-07	7.8123E-07	1.1552E-06	2.1216E-06	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	4.894E-05	4.8814E-04	5.6284E-05	1.3168E-04	8.0055E-05	8.4707E-05	1.1698E-04	1.6045E-03	2.6752E-03	3.0684E-03	2.1144E-03	2.2654E-03	4.027E-04	7.493E-04	3.101E-02	4.1634E-02
S  32	2.9696E-10	1.9222E-13	1.6257E-08	5.0348E-08	1.0227E-07	1.4199E-07	1.7203E-07	2.4094E-07	3.1957E-07	5.0601E-07	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	7.892E-03	2.3668E-02	3.2037E-02	4.0654E-02	5.3124E-02	1.85E-01	1.1566E-01	3.7264E-01	1.2589E+00	1.5843E+00	1.6848E+00	1.8051E+00	8.663E+00	1.31E+01	1.578E+01	1.6721E+01
S  33	4.231E-11	5.2732E-15	8.0264E-10	2.4858E-09	5.0495E-09	7.0104E-09	8.4937E-09	1.2556E-08	1.7377E-08	2.929E-08	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	1.5277E-05	8.9761E-05	7.5476E-05	1.0303E-04	1.9764E-04	2.7441E-04	1.651E-04	8.0975E-04	2.5178E-03	3.145E-03	5.9455E-03	6.3702E-03	1.221E-02	6.068E-03	3.382E-02	4.3563E-02
S  34	1.4879E-11	2.068E-14	4.8315E-10	1.4963E-09	3.0394E-09	4.2196E-09	5.1125E-09	8.9989E-09	1.3947E-08	2.7029E-08	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	4E-05	2.7936E-04	2.0151E-04	2.8451E-04	4.8955E-04	4.2378E-04	8.4176E-05	1.5936E-03	4.5324E-03	5.6116E-03	5.4061E-03	5.7922E-03	7.065E-04	1.085E-04	2.719E-02	3.6698E-02
S  36	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	1.5408E-09	1.4789E-08	1.4324E-09	5.3435E-09	2.5605E-09	3.4145E-10	7.0383E-10	3.1935E-08	1.4602E-07	1.8791E-07	4.6753E-08	5.0093E-08	6.776E-10	4.821E-10	7.981E-07	1.0781E-06
Cl 35	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	3.5995E-06	5.4833E-05	1.4645E-05	2.6438E-05	6.876E-05	5.4167E-05	2.2967E-05	2.1555E-04	3.9618E-04	4.6251E-04	5.8144E-04	6.2297E-04	3.045E-04	1.266E-04	1.874E-02	2.5275E-02
Cl 37	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	1.0321E-06	3.0427E-06	5.8256E-06	9.1176E-06	3.8625E-05	6.1146E-05	1.5368E-05	9.6556E-05	2.1415E-04	2.5733E-04	5.5284E-04	5.9233E-04	1.608E-03	8.106E-04	2.464E-02	3.3006E-02
Ar 36	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	1.4735E-03	3.243E-03	5.2821E-03	5.6692E-03	9.6689E-03	3.1E-02	1.9649E-02	4.8735E-02	1.8072E-01	2.2919E-01	2.1941E-01	2.3508E-01	1.419E+00	2.361E+00	2.602E+00	2.6866E+00
Ar 38	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	6.0462E-06	5.2278E-05	6.231E-05	1.7001E-04	3.8567E-04	3.5894E-04	3.4841E-05	1.1076E-03	1.5986E-03	1.7789E-03	3.2526E-03	3.4849E-03	8.338E-04	1.949E-05	3.902E-02	5.2712E-02
Ar 40	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	7.048E-12	8.0111E-11	1.7766E-11	3.9586E-11	1.0569E-10	1.7687E-11	4.6636E-12	1.295E-10	8.2513E-10	1.0806E-09	1.9268E-10	2.0644E-10	1.036E-11	4.287E-12	3.527E-09	4.7638E-09
